payment_id,order_id,payment_method,payment_date,payment_status
1,1,Credit Card,2024-04-06 10:52:07,Failed
2,2,PayPal,2024-02-17 09:52:57,Failed
3,3,Bank Transfer,2024-04-23 18:12:38,Pending
4,4,Credit Card,2024-08-20 16:12:33,Pending
5,5,Credit Card,2024-03-30 06:18:22,Completed
6,6,PayPal,2024-06-02 02:11:58,Pending
7,7,PayPal,2024-02-08 16:03:26,Pending
8,8,PayPal,2024-06-27 19:01:38,Pending
9,9,Credit Card,2024-06-21 16:43:20,Pending
10,10,PayPal,2024-01-23 01:06:11,Failed
11,11,PayPal,2024-05-02 01:02:21,Completed
12,12,Credit Card,2024-01-26 02:28:47,Completed
13,13,Bank Transfer,2024-07-23 10:19:12,Completed
14,14,Credit Card,2024-08-30 11:50:23,Failed
15,15,Bank Transfer,2024-07-15 20:11:00,Failed
16,16,Bank Transfer,2024-04-20 03:08:29,Completed
17,17,Credit Card,2024-01-10 18:07:16,Completed
18,18,Bank Transfer,2024-03-14 06:17:32,Failed
19,19,PayPal,2024-02-24 17:51:56,Completed
20,20,Bank Transfer,2024-03-01 02:49:34,Pending
21,21,PayPal,2024-07-27 11:26:49,Completed
22,22,Bank Transfer,2024-08-07 21:04:55,Pending
23,23,Credit Card,2024-07-22 20:02:46,Pending
24,24,Credit Card,2024-06-19 17:58:12,Completed
25,25,Bank Transfer,2024-06-11 13:42:10,Completed
26,26,PayPal,2024-01-11 21:41:11,Completed
27,27,Credit Card,2024-08-11 19:22:48,Failed
28,28,Bank Transfer,2024-08-25 13:53:28,Completed
29,29,Bank Transfer,2024-08-15 15:41:15,Failed
30,30,Bank Transfer,2024-04-27 10:10:06,Failed
31,31,Credit Card,2024-04-26 16:29:20,Failed
32,32,Credit Card,2024-04-25 20:20:46,Failed
33,33,PayPal,2024-03-08 09:48:49,Completed
34,34,PayPal,2024-09-07 04:23:00,Pending
35,35,Bank Transfer,2024-09-08 13:13:20,Completed
36,36,PayPal,2024-07-13 09:23:02,Completed
37,37,Credit Card,2024-05-15 00:30:56,Pending
38,38,PayPal,2024-08-26 19:37:38,Completed
39,39,Credit Card,2024-07-15 19:01:34,Failed
40,40,Bank Transfer,2024-07-06 16:00:29,Failed
41,41,Bank Transfer,2024-02-14 17:59:22,Failed
42,42,Bank Transfer,2024-04-03 00:53:09,Completed
43,43,PayPal,2024-07-15 22:31:39,Failed
44,44,Bank Transfer,2024-08-17 01:09:53,Pending
45,45,Credit Card,2024-01-22 07:59:14,Failed
46,46,PayPal,2024-03-14 19:17:21,Failed
47,47,PayPal,2024-02-14 01:38:19,Pending
48,48,Credit Card,2024-01-29 00:52:50,Failed
49,49,PayPal,2024-03-07 02:29:49,Completed
50,50,Bank Transfer,2024-06-11 12:19:20,Completed
51,51,Credit Card,2024-04-20 02:06:50,Failed
52,52,PayPal,2024-08-18 22:53:30,Pending
53,53,Bank Transfer,2024-03-05 14:46:33,Pending
54,54,PayPal,2024-04-23 11:51:23,Pending
55,55,PayPal,2024-03-07 10:14:00,Completed
56,56,Credit Card,2024-04-07 00:18:43,Pending
57,57,Credit Card,2024-07-16 15:14:35,Completed
58,58,Credit Card,2024-05-28 09:23:51,Completed
59,59,PayPal,2024-03-08 21:34:56,Failed
60,60,PayPal,2024-07-07 22:40:50,Completed
61,61,Bank Transfer,2024-04-25 15:58:46,Failed
62,62,Credit Card,2024-01-30 21:32:10,Completed
63,63,PayPal,2024-08-25 22:12:27,Failed
64,64,PayPal,2024-05-23 02:26:21,Completed
65,65,PayPal,2024-07-08 11:37:36,Failed
66,66,PayPal,2024-07-31 00:15:52,Pending
67,67,PayPal,2024-02-03 22:31:52,Pending
68,68,Credit Card,2024-03-03 07:28:39,Pending
69,69,Credit Card,2024-06-16 08:22:28,Pending
70,70,PayPal,2024-08-09 21:40:41,Failed
71,71,Bank Transfer,2024-05-06 08:23:47,Completed
72,72,Credit Card,2024-02-26 13:22:47,Pending
73,73,Bank Transfer,2024-04-26 04:48:50,Failed
74,74,PayPal,2024-06-06 07:55:32,Completed
75,75,Bank Transfer,2024-08-09 01:47:25,Failed
76,76,Bank Transfer,2024-03-24 02:14:01,Completed
77,77,PayPal,2024-07-20 10:20:03,Pending
78,78,PayPal,2024-05-02 10:20:52,Completed
79,79,PayPal,2024-07-12 00:32:07,Completed
80,80,Credit Card,2024-01-27 05:40:18,Pending
81,81,PayPal,2024-08-30 09:31:55,Failed
82,82,PayPal,2024-07-25 11:03:32,Completed
83,83,Bank Transfer,2024-03-24 14:14:53,Failed
84,84,Credit Card,2024-03-19 11:32:05,Failed
85,85,Credit Card,2024-02-16 12:20:03,Pending
86,86,Credit Card,2024-07-14 00:10:44,Failed
87,87,PayPal,2024-03-31 12:13:33,Completed
88,88,PayPal,2024-05-28 13:47:59,Pending
89,89,Credit Card,2024-08-11 17:56:11,Completed
90,90,Bank Transfer,2024-02-06 14:50:47,Pending
91,91,PayPal,2024-03-26 13:48:40,Pending
92,92,PayPal,2024-07-01 01:01:16,Failed
93,93,PayPal,2024-07-06 10:40:44,Completed
94,94,Bank Transfer,2024-05-06 17:08:04,Pending
95,95,Credit Card,2024-08-10 01:04:54,Failed
96,96,Credit Card,2024-09-06 07:59:29,Failed
97,97,PayPal,2024-04-07 14:00:35,Completed
98,98,Credit Card,2024-02-17 18:41:13,Failed
99,99,Credit Card,2024-05-24 20:15:24,Failed
100,100,Bank Transfer,2024-08-01 01:29:49,Pending
